bank_txn_id,transaction_date,bank_reference_number,payer_name,payer_account_number,payer_ifsc,narration,document_number,amount,clearing_status,explicit_fee,is_bank_charge
BANK-001,07/02/26,UTR-ADV-7001,Acme Industries Pvt Ltd,,,NEFT PAYMENT ACME,,10000,Pending,0,FALSE
BANK-002,07/03/26,NEFT-BT-002,Bright Textiles Pvt Ltd,1.12E+11,HDFC0001234,NEFT SETTLEMENT,,13500,Pending,0,FALSE
BANK-003,07/06/26,NEFT-BT-003,Bright Textiles Pvt Ltd,1.12E+11,HDFC0001234,OVERPAYMENT SETTLEMENT,,9500,Pending,0,FALSE
BANK-004,07/07/26,NEFT-BT-004,Bright Textiles Pvt Ltd,1.12E+11,HDFC0001234,FEE ADJUSTED PAYMENT,,5980,Pending,20,FALSE
BANK-014,07/08/26,NEFT-BT-014,Bright Textiles Pvt Ltd,1.12E+11,HDFC0001234,WRITE OFF TEST PAYMENT,,2998,Pending,0,FALSE
BANK-005,07/04/26,UTR-NIM-005,Nimbus Traders,,,UPI/nimbus@okhdfc/PAYMENT INV-2026-105,,8000,Pending,0,FALSE
BANK-006,07/17/26,UTR-NIM-006,Nimbus Traders,,,UPI/nimbus@okhdfc/PARTIAL SETTLEMENT,,2500,Pending,0,FALSE
BANK-007,07/05/26,NEFT-KF-007,Kestrel Freight Co,,,NEFT TRANSFER REF KEST04 INVC 1046,,12000,Pending,0,FALSE
BANK-008,06/21/26,NEFT-KF-008,Kestrel Freight Co,,,NEFT TRANSFER REF KEST04 SHORT PAY INV-2026-107,,5000,Pending,0,FALSE
BANK-009,07/09/26,UTR-SOL-009,Solace Pharma Ltd,,,RTGS FROM SOLACE GSTIN 27AASCS1234F1Z5,,12000,Pending,0,FALSE
BANK-010,07/10/26,UTR-VAN-010,Vantage Retail Solution,,,NEFT PAYMENT VANTAGE,,9000,Pending,0,FALSE
BANK-011,07/11/26,UTR-HAL-011,XYZ Remitter Co,,,NEFT TRANSFER HALCYON SETTLEMENT REF 45A211,45A211,6000,Pending,0,FALSE
BANK-012,07/13/26,UTR-MER-012,Random Remitter Ltd,3.34E+11,,GENERIC TRANSFER DOC 78K934,78K934,11000,Pending,0,FALSE
BANK-013,07/14/26,UTR-SIL-013,Silverline Remit Co,1.12E+11,,GENERIC SETTLEMENT PAYMENT DOC 12M567,12M567,18000,Pending,0,FALSE
BANK-020,07/15/26,UTR-COR-020,Coral Living Pvt Ltd,,,NEFT TRANSFER REF CORL12 PAYMENT,,4500,Pending,0,FALSE
BANK-015,07/02/26,UTR-ADV-7001,Acme Industries Pvt Ltd,,,NEFT PAYMENT ACME,,10000,Pending,0,FALSE
BANK-016,07/20/26,FEE-BANK-017,Bank,,,MONTHLY ACCOUNT MAINTENANCE FEE,,500,Pending,0,TRUE
BANK-017,07/21/26,UTR-UNK-018,Unknown Remitter XYZ,,,MISC TRANSFER UNRECOGNIZED,,999,Pending,0,FALSE
